,ID,innings,total_run,batters,bowlers,Venue
376,1216497,1,45,['MEK Hussey' 'M Vijay'],['Z Khan' 'DL Vettori' 'JJ van der Wath' 'TM Dilshan'],Sheikh Zayed Stadium
377,1216497,2,33,['MA Agarwal' 'TM Dilshan' 'AUK Pathan' 'V Kohli' 'AB de Villiers'],['JA Morkel' 'TG Southee' 'R Ashwin'],Sheikh Zayed Stadium
378,1216496,1,48,['S Sohal' 'S Dhawan' 'KC Sangakkara'],['P Kumar' 'RJ Harris' 'R McLaren'],Sharjah Cricket Stadium
379,1216496,2,62,['AC Gilchrist' 'PC Valthaty'],['DW Steyn' 'I Sharma' 'MS Gony'],Sharjah Cricket Stadium
380,1216495,1,63,['JD Ryder' 'GC Smith' 'M Manhas'],['Y Venugopal Rao' 'AB Dinda' 'IK Pathan' 'UT Yadav'],Sharjah Cricket Stadium
381,1216495,2,67,['DA Warner' 'V Sehwag'],['AC Thomas' 'SB Wagh' 'WD Parnell'],Sharjah Cricket Stadium
382,1216494,1,36,['SR Watson' 'AG Paunikar' 'FY Fazal' 'AS Raut'],['B Lee' 'Shakib Al Hasan' 'L Balaji' 'Iqbal Abdulla'],Sheikh Zayed Stadium
383,1216494,2,26,['JH Kallis' 'G Gambhir' 'MS Bisla'],['SW Tait' 'SR Watson' 'SK Warne'],Sheikh Zayed Stadium
384,1216493,1,42,['MEK Hussey' 'M Vijay' 'SK Raina'],['RP Singh' 'R Vinay Kumar' 'NLTC Perera'],Dubai International Cricket Stadium
385,1216493,2,49,['BB McCullum' 'DPMD Jayawardene' 'PA Patel'],['JA Morkel' 'DE Bollinger' 'R Ashwin' 'TG Southee'],Dubai International Cricket Stadium
386,1216492,1,43,['S Sohal' 'S Dhawan' 'KC Sangakkara'],['AB Dinda' 'IK Pathan' 'M Morkel'],Sheikh Zayed Stadium
387,1216492,2,38,['DA Warner' 'V Sehwag' 'NV Ojha' 'AJ Finch' 'Y Venugopal Rao'],['DW Steyn' 'DT Christian' 'Harmeet Singh'],Sheikh Zayed Stadium
388,1181768,1,33,['JD Ryder' 'TD Paine' 'M Manhas' 'RV Uthappa' 'Yuvraj Singh' 'MD Mishra'],['AG Murtaza' 'SL Malinga' 'AN Ahmed' 'MM Patel'],Rajiv Gandhi International Stadium
389,1181768,2,32,['JEC Franklin' 'SR Tendulkar' 'AT Rayudu'],['AC Thomas' 'SB Wagh' 'M Kartik' 'WD Parnell'],Rajiv Gandhi International Stadium
390,1181767,1,45,['BB McCullum' 'DPMD Jayawardene'],['B Lee' 'L Balaji' 'Iqbal Abdulla' 'Shakib Al Hasan'],Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
391,1181767,2,37,['MS Bisla' 'JH Kallis' 'G Gambhir' 'MK Tiwary'],['RP Singh' 'R Vinay Kumar' 'RA Jadeja'],Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
392,1181766,1,77,['AC Gilchrist' 'PC Valthaty' 'SE Marsh'],['SK Trivedi' 'SW Tait' 'SK Warne' 'SR Watson'],Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
393,1181766,2,45,['SA Asnodkar' 'R Dravid' 'SR Watson' 'STR Binny'],['P Kumar' 'RJ Harris' 'BA Bhatt'],Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
394,1181764,1,40,['R Sathish' 'SR Tendulkar' 'AT Rayudu' 'RG Sharma'],['JA Morkel' 'DE Bollinger' 'Joginder Sharma'],MA Chidambaram Stadium
395,1181764,2,44,['MEK Hussey' 'M Vijay' 'SK Raina' 'S Badrinath'],['MM Patel' 'SL Malinga' 'AN Ahmed' 'Harbhajan Singh'],MA Chidambaram Stadium
396,1178431,1,50,['JH Kallis' 'BJ Haddin' 'G Gambhir'],['Z Khan' 'S Aravind' 'J Syed Mohammad' 'TM Dilshan'],Wankhede Stadium
397,1178431,2,57,['TM Dilshan' 'CH Gayle'],['YK Pathan' 'L Balaji' 'JD Unadkat' 'Shakib Al Hasan'],Wankhede Stadium
398,1178430,1,70,['DA Warner' 'V Sehwag'],['P Kumar' 'RJ Harris' 'SJ Srivastava'],Punjab Cricket Association IS Bindra Stadium
399,1178430,2,46,['AC Gilchrist' 'PC Valthaty' 'SE Marsh'],['M Morkel' 'IK Pathan'],Punjab Cricket Association IS Bindra Stadium
400,1178429,1,57,['DJ Jacobs' 'SR Tendulkar'],['A Mishra' 'DW Steyn' 'PP Ojha' 'I Sharma' 'DT Christian'],M.Chinnaswamy Stadium
401,1178429,2,41,['S Sohal' 'S Dhawan' 'KC Sangakkara' 'CL White'],['MM Patel' 'Harbhajan Singh' 'AN Ahmed' 'SL Malinga'],M.Chinnaswamy Stadium
402,1178428,1,32,['DPMD Jayawardene' 'VVS Laxman' 'PA Patel' 'BJ Hodge'],['A Singh' 'SR Watson' 'J Botha'],Arun Jaitley Stadium
403,1178428,2,38,['SR Watson' 'R Dravid'],['RP Singh' 'R Vinay Kumar' 'M Muralitharan'],Arun Jaitley Stadium
404,1178427,1,45,['M Vijay' 'MEK Hussey'],['NL McCullum' 'JE Taylor' 'AC Thomas' 'M Kartik'],Punjab Cricket Association IS Bindra Stadium
405,1178427,2,40,['JD Ryder' 'MD Mishra' 'MK Pandey' 'RV Uthappa' 'Yuvraj Singh' 'M Manhas'],['JA Morkel' 'DE Bollinger' 'R Ashwin'],Punjab Cricket Association IS Bindra Stadium
406,1178426,1,42,['DA Warner' 'V Sehwag' 'JR Hopes'],['Z Khan' 'S Aravind'],Wankhede Stadium
407,1178426,2,65,['CH Gayle' 'TM Dilshan' 'V Kohli'],['AB Dinda' 'IK Pathan' 'M Morkel'],Wankhede Stadium
408,1178425,1,37,['JD Ryder' 'MD Mishra' 'M Manhas' 'MK Pandey' 'Yuvraj Singh'],['KMDN Kulasekara' 'DE Bollinger' 'TG Southee'],MA Chidambaram Stadium
409,1178425,2,28,['MEK Hussey' 'M Vijay' 'S Badrinath'],['AC Thomas' 'JE Taylor' 'M Kartik' 'MR Marsh'],MA Chidambaram Stadium
410,1178424,1,20,['S Sohal' 'S Dhawan' 'B Chipli' 'KC Sangakkara'],['RP Singh' 'S Sreesanth' 'R Vinay Kumar'],M.Chinnaswamy Stadium
411,1178424,2,29,"['BB McCullum' 'PA Patel' 'DPMD Jayawardene' 'RV Gomez' 'BJ Hodge'
 'KM Jadhav' 'RA Jadeja' 'NLTC Perera']",['DW Steyn' 'I Sharma'],M.Chinnaswamy Stadium
412,1178423,1,42,['JH Kallis' 'SP Goswami' 'G Gambhir'],['IK Pathan' 'M Morkel' 'UT Yadav'],Rajiv Gandhi International Stadium
413,1178423,2,41,['DA Warner' 'V Sehwag' 'JR Hopes'],['B Lee' 'L Balaji' 'JD Unadkat' 'Iqbal Abdulla'],Rajiv Gandhi International Stadium
414,1178422,1,31,['DJ Jacobs' 'SR Tendulkar' 'AT Rayudu' 'RG Sharma'],['AL Menaria' 'A Singh' 'SR Watson'],Eden Gardens
415,1178422,2,18,['SR Watson' 'R Dravid' 'J Botha'],['SL Malinga' 'MM Patel' 'AG Murtaza'],Eden Gardens
416,1178421,1,57,['CH Gayle' 'TM Dilshan'],['AC Thomas' 'JE Taylor' 'Kamran Khan'],Arun Jaitley Stadium
417,1178421,2,42,['JD Ryder' 'TD Paine' 'MK Pandey'],['Z Khan' 'S Aravind' 'A Mithun'],Arun Jaitley Stadium
418,1178420,1,34,['DA Warner' 'NV Ojha' 'Y Venugopal Rao' 'V Sehwag'],['RP Singh' 'S Sreesanth'],Sawai Mansingh Stadium
419,1178420,2,37,['BB McCullum' 'M Klinger' 'DPMD Jayawardene' 'PA Patel' 'BJ Hodge'],['IK Pathan' 'M Morkel' 'UT Yadav'],Sawai Mansingh Stadium
420,1178419,1,40,['AC Gilchrist' 'PC Valthaty' 'SE Marsh'],['B Lee' 'L Balaji' 'Iqbal Abdulla' 'YK Pathan'],MA Chidambaram Stadium
421,1178419,2,45,['JH Kallis' 'EJG Morgan' 'G Gambhir' 'MK Tiwary'],['P Kumar' 'BA Bhatt' 'DJ Hussey' 'RJ Harris'],MA Chidambaram Stadium
422,1178418,1,49,['JD Ryder' 'MK Pandey' 'RV Uthappa'],['J Botha' 'AL Menaria' 'SR Watson' 'A Singh' 'SK Warne'],Eden Gardens
423,1178418,2,34,['SR Watson' 'R Dravid' 'J Botha'],['M Kartik' 'AC Thomas' 'R Sharma' 'JE Taylor'],Eden Gardens
424,1178417,1,34,['M Vijay' 'MEK Hussey' 'SK Raina'],['JP Duminy' 'DT Christian' 'I Sharma' 'PP Ojha'],M.Chinnaswamy Stadium
425,1178417,2,64,['S Sohal' 'S Dhawan'],['JA Morkel' 'DE Bollinger' 'R Ashwin' 'S Randiv'],M.Chinnaswamy Stadium
426,1178416,1,35,['DJ Jacobs' 'SR Tendulkar' 'AT Rayudu'],['BA Bhatt' 'P Kumar' 'Bipul Sharma'],MA Chidambaram Stadium
427,1178416,2,24,['PC Valthaty' 'AC Gilchrist' 'SE Marsh'],['Harbhajan Singh' 'SL Malinga' 'AN Ahmed' 'MM Patel'],MA Chidambaram Stadium
428,1178415,1,42,['DA Warner' 'V Sehwag' 'NV Ojha' 'Y Nagar'],['RP Singh' 'S Sreesanth' 'P Parameswaran'],Sawai Mansingh Stadium
429,1178415,2,67,['M Klinger' 'BB McCullum' 'PA Patel'],['IK Pathan' 'M Morkel' 'UT Yadav'],Sawai Mansingh Stadium
430,1178414,1,41,['EJG Morgan' 'JH Kallis' 'G Gambhir'],['DT Christian' 'DW Steyn' 'I Sharma'],M.Chinnaswamy Stadium
431,1178414,2,41,['S Sohal' 'S Dhawan' 'KC Sangakkara' 'CL White'],['B Lee' 'L Balaji' 'Iqbal Abdulla'],M.Chinnaswamy Stadium
432,1178413,1,47,['SR Watson' 'R Dravid'],['JA Morkel' 'DE Bollinger' 'R Ashwin'],Rajiv Gandhi International Stadium
433,1178413,2,43,['MEK Hussey' 'M Vijay' 'SK Raina'],['ND Doshi' 'J Botha' 'SR Watson' 'SK Trivedi'],Rajiv Gandhi International Stadium
434,1178412,1,49,['AC Blizzard' 'SR Tendulkar' 'AT Rayudu'],['AC Thomas' 'SB Wagh' 'JE Taylor'],Arun Jaitley Stadium
435,1178412,2,31,['JD Ryder' 'GC Smith' 'MK Pandey' 'AA Jhunjhunwala'],['Harbhajan Singh' 'MM Patel' 'DS Kulkarni' 'SL Malinga'],Arun Jaitley Stadium
436,1178411,1,35,['BB McCullum' 'M Klinger' 'PA Patel' 'DPMD Jayawardene'],['B Lee' 'JD Unadkat' 'Iqbal Abdulla'],Sawai Mansingh Stadium
437,1178411,2,43,['JH Kallis' 'EJG Morgan'],['RP Singh' 'S Sreesanth' 'R Vinay Kumar' 'P Parameswaran'],Sawai Mansingh Stadium
438,1178410,1,43,['S Dhawan' 'DB Ravi Teja' 'KC Sangakkara'],['M Morkel' 'IK Pathan' 'AM Salvi'],Eden Gardens
439,1178410,2,29,['AJ Finch' 'NV Ojha' 'V Sehwag' 'Y Venugopal Rao'],['DW Steyn' 'I Sharma' 'DT Christian'],Eden Gardens
440,1178409,1,48,['CH Gayle' 'TM Dilshan' 'V Kohli'],['P Kumar' 'RJ Harris' 'R McLaren'],Arun Jaitley Stadium
441,1178409,2,38,"['AC Gilchrist' 'PC Valthaty' 'AM Nayar' 'SE Marsh' 'KD Karthik'
 'Sunny Singh']",['Z Khan' 'S Aravind' 'CH Gayle'],Arun Jaitley Stadium
442,1178408,1,15,['MEK Hussey' 'M Vijay' 'SK Raina' 'S Badrinath'],['B Lee' 'Iqbal Abdulla' 'YK Pathan'],Rajiv Gandhi International Stadium
443,1178408,2,33,['EJG Morgan' 'JH Kallis' 'G Gambhir'],['JA Morkel' 'R Ashwin' 'DE Bollinger'],Rajiv Gandhi International Stadium
444,1178407,1,50,['AC Blizzard' 'SR Tendulkar' 'AT Rayudu'],['M Morkel' 'IK Pathan' 'AB Agarkar'],Punjab Cricket Association IS Bindra Stadium
445,1178407,2,23,['V Sehwag' 'DA Warner' 'CA Ingram' 'NV Ojha' 'Y Venugopal Rao' 'JR Hopes'],['Harbhajan Singh' 'SL Malinga' 'MM Patel' 'DS Kulkarni'],Punjab Cricket Association IS Bindra Stadium
446,1178406,1,49,['M Klinger' 'BB McCullum' 'PA Patel'],['Z Khan' 'S Aravind' 'CH Gayle' 'DL Vettori'],Wankhede Stadium
447,1178406,2,79,['CH Gayle' 'TM Dilshan' 'V Kohli'],['RP Singh' 'RR Powar' 'P Parameswaran' 'R Vinay Kumar'],Wankhede Stadium
448,1178405,1,34,['AC Gilchrist' 'PC Valthaty' 'SE Marsh'],['B Kumar' 'SB Wagh' 'WD Parnell' 'R Sharma'],Rajiv Gandhi International Stadium
449,1178405,2,40,['JD Ryder' 'MK Pandey' 'RV Uthappa'],['P Kumar' 'RJ Harris' 'SJ Srivastava' 'BA Bhatt'],Rajiv Gandhi International Stadium
450,1178404,1,55,['MEK Hussey' 'M Vijay'],['AL Menaria' 'A Singh' 'SR Watson' 'J Botha'],Eden Gardens
451,1178404,2,48,['SR Watson' 'R Dravid' 'AM Rahane'],['JA Morkel' 'DE Bollinger' 'DJ Bravo' 'R Ashwin'],Eden Gardens
452,1178403,1,50,['S Dhawan' 'DB Ravi Teja'],['B Kumar' 'SB Wagh' 'WD Parnell' 'R Sharma'],Punjab Cricket Association IS Bindra Stadium
453,1178403,2,52,['JD Ryder' 'MK Pandey'],['DW Steyn' 'I Sharma' 'PP Ojha' 'JP Duminy' 'DT Christian' 'A Mishra'],Punjab Cricket Association IS Bindra Stadium
454,1178402,1,39,['PC Valthaty' 'AC Gilchrist' 'SE Marsh'],['Harbhajan Singh' 'SL Malinga' 'MM Patel'],Wankhede Stadium
455,1178402,2,33,['AC Blizzard' 'SR Tendulkar' 'RG Sharma' 'A Symonds' 'AT Rayudu'],['P Kumar' 'BA Bhatt' 'Bipul Sharma' 'RJ Harris'],Wankhede Stadium
456,1178401,1,43,['SR Watson' 'R Dravid'],['Z Khan' 'S Aravind' 'CK Langeveldt'],Eden Gardens
457,1178401,2,66,['CH Gayle' 'TM Dilshan'],['SR Watson' 'J Botha' 'Pankaj Singh' 'SK Trivedi'],Eden Gardens
458,1178400,1,42,['MEK Hussey' 'M Vijay' 'SK Raina'],['IK Pathan' 'AB McDonald' 'VR Aaron' 'AB Agarkar'],Sawai Mansingh Stadium
459,1178400,2,52,['NV Ojha' 'DA Warner' 'CA Ingram'],['JA Morkel' 'DE Bollinger' 'R Ashwin'],Sawai Mansingh Stadium
460,1178399,1,62,['BB McCullum' 'DPMD Jayawardene'],['RJ Harris' 'BA Bhatt' 'Bipul Sharma' 'SJ Srivastava'],Wankhede Stadium
461,1178399,2,49,['AC Gilchrist' 'PC Valthaty' 'SE Marsh' 'KD Karthik'],['RP Singh' 'S Sreesanth'],Wankhede Stadium
462,1178398,1,33,['JH Kallis' 'EJG Morgan' 'G Gambhir' 'MK Tiwary' 'YK Pathan'],['Z Khan' 'CK Langeveldt' 'S Aravind'],MA Chidambaram Stadium
463,1178398,2,65,['CH Gayle' 'LA Pomersbach' 'V Kohli' 'AB de Villiers'],['B Lee' 'JD Unadkat' 'JH Kallis'],MA Chidambaram Stadium
464,1178397,1,32,['MJ Lumb' 'KC Sangakkara' 'S Sohal'],['SL Malinga' 'MM Patel' 'Harbhajan Singh' 'DS Kulkarni'],Punjab Cricket Association IS Bindra Stadium
465,1178397,2,26,['SR Tendulkar' 'AC Blizzard' 'AT Rayudu' 'RG Sharma' 'A Symonds'],['JP Duminy' 'I Sharma' 'PP Ojha'],Punjab Cricket Association IS Bindra Stadium
466,1178396,1,43,['PC Valthaty' 'AC Gilchrist' 'SE Marsh'],['IK Pathan' 'M Morkel' 'VR Aaron' 'AM Salvi'],Sawai Mansingh Stadium
467,1178396,2,42,['NV Ojha' 'DA Warner'],['P Kumar' 'RJ Harris' 'SJ Srivastava'],Sawai Mansingh Stadium
468,1178395,1,32,['FY Fazal' 'R Dravid' 'AM Rahane' 'SR Watson' 'AL Menaria'],['RP Singh' 'S Sreesanth'],M.Chinnaswamy Stadium
469,1178395,2,87,['BB McCullum' 'DPMD Jayawardene' 'PA Patel' 'BJ Hodge'],['SW Tait' 'JDP Oram' 'ND Doshi' 'AA Chavan'],M.Chinnaswamy Stadium
470,1178394,1,39,['JD Ryder' 'MK Pandey' 'SC Ganguly' 'RV Uthappa'],['JP Duminy' 'DW Steyn' 'I Sharma' 'DT Christian'],Rajiv Gandhi International Stadium
471,1178394,2,57,['S Sohal' 'S Dhawan'],['B Kumar' 'WD Parnell' 'R Sharma' 'MR Marsh'],Rajiv Gandhi International Stadium
472,1178393,1,30,['PC Valthaty' 'AC Gilchrist' 'SE Marsh'],['JJ van der Wath' 'CK Langeveldt' 'CH Gayle' 'S Aravind'],MA Chidambaram Stadium
473,1178393,2,34,['CH Gayle' 'SS Tiwary' 'V Kohli' 'AB de Villiers'],['P Kumar' 'RJ Harris' 'SJ Srivastava'],MA Chidambaram Stadium
474,1175372,1,41,['MEK Hussey' 'M Vijay' 'SK Raina'],['RP Singh' 'S Sreesanth' 'M Muralitharan'],M.Chinnaswamy Stadium
475,1175372,2,40,['PA Patel' 'BB McCullum' 'Y Gnaneswara Rao'],['R Ashwin' 'DE Bollinger' 'SB Jakati'],M.Chinnaswamy Stadium
476,1175371,1,29,['JD Ryder' 'MK Pandey' 'CJ Ferguson' 'SC Ganguly'],['B Lee' 'YK Pathan' 'Iqbal Abdulla' 'JH Kallis'],Arun Jaitley Stadium
477,1175371,2,44,['G Gambhir' 'SP Goswami' 'MK Tiwary'],['AC Thomas' 'WD Parnell' 'R Sharma' 'B Kumar'],Arun Jaitley Stadium
478,1175370,1,26,['TL Suman' 'SR Tendulkar' 'AT Rayudu' 'RG Sharma'],['AA Chavan' 'SR Watson'],Wankhede Stadium
479,1175370,2,52,['SR Watson' 'R Dravid'],['MM Patel' 'Harbhajan Singh' 'SL Malinga' 'DS Kulkarni'],Wankhede Stadium
480,1175369,1,58,['S Dhawan' 'DB Ravi Teja'],['P Kumar' 'RJ Harris' 'BA Bhatt'],Sawai Mansingh Stadium
481,1175369,2,45,['PC Valthaty' 'AC Gilchrist' 'SE Marsh' 'KD Karthik'],['JP Duminy' 'DW Steyn' 'Anand Rajan' 'PP Ojha'],Sawai Mansingh Stadium
482,1175368,1,23,['MEK Hussey' 'M Vijay' 'SK Raina' 'S Badrinath' 'WP Saha'],['Z Khan' 'S Aravind' 'DL Vettori'],Punjab Cricket Association IS Bindra Stadium
483,1175368,2,44,['AB de Villiers' 'V Kohli' 'CH Gayle'],['R Ashwin' 'DE Bollinger'],Punjab Cricket Association IS Bindra Stadium
484,1175367,1,46,['JH Kallis' 'SP Goswami' 'G Gambhir' 'MK Tiwary'],['AN Ahmed' 'SL Malinga' 'Harbhajan Singh' 'RW Price'],MA Chidambaram Stadium
485,1175367,2,54,['TL Suman' 'SR Tendulkar' 'Harbhajan Singh'],['B Lee' 'Iqbal Abdulla' 'Shakib Al Hasan' 'L Balaji'],MA Chidambaram Stadium
486,1175366,1,44,['MA Agarwal' 'CH Gayle' 'V Kohli'],['JA Morkel' 'DE Bollinger' 'R Ashwin'],Rajiv Gandhi International Stadium
487,1175366,2,25,['MEK Hussey' 'M Vijay' 'S Badrinath' 'SK Raina'],['Z Khan' 'S Aravind' 'A Mithun'],Rajiv Gandhi International Stadium
488,1175365,1,25,"['G Gambhir' 'JH Kallis' 'SP Goswami' 'MK Tiwary' 'YK Pathan'
 'RN ten Doeschate']",['DS Kulkarni' 'MM Patel' 'Harbhajan Singh' 'SL Malinga'],Arun Jaitley Stadium
489,1175365,2,62,['AC Blizzard' 'SR Tendulkar'],['B Lee' 'Iqbal Abdulla' 'YK Pathan' 'Shakib Al Hasan'],Arun Jaitley Stadium
490,1175364,1,68,['MA Agarwal' 'CH Gayle'],['AN Ahmed' 'Harbhajan Singh' 'SL Malinga' 'MM Patel'],Punjab Cricket Association IS Bindra Stadium
491,1175364,2,52,['AC Blizzard' 'SR Tendulkar' 'Harbhajan Singh' 'RG Sharma'],['Z Khan' 'S Aravind' 'CH Gayle' 'A Mithun'],Punjab Cricket Association IS Bindra Stadium
492,1175363,1,56,['MEK Hussey' 'M Vijay'],['Z Khan' 'S Aravind' 'CH Gayle' 'J Syed Mohammad'],Rajiv Gandhi International Stadium
493,1175363,2,47,['MA Agarwal' 'CH Gayle' 'V Kohli' 'AB de Villiers'],['R Ashwin' 'JA Morkel' 'DE Bollinger'],Rajiv Gandhi International Stadium
494,1175362,1,42,['F du Plessis' 'M Vijay' 'SK Raina' 'DJ Bravo'],['SL Malinga' 'AN Ahmed' 'Harbhajan Singh' 'JEC Franklin'],M.Chinnaswamy Stadium
495,1175362,2,53,['RE Levi' 'SR Tendulkar'],['JA Morkel' 'DE Bollinger' 'R Ashwin' 'RA Jadeja'],M.Chinnaswamy Stadium
496,1175361,1,46,['BB McCullum' 'JH Kallis' 'G Gambhir' 'MK Tiwary' 'YK Pathan' 'DB Das'],['IK Pathan' 'RE van der Merwe' 'M Morkel' 'UT Yadav' 'GJ Maxwell'],Eden Gardens
497,1175361,2,48,['AJ Finch' 'V Sehwag'],['B Lee' 'M de Lange' 'Iqbal Abdulla' 'JH Kallis'],Eden Gardens
498,1175360,1,30,['MK Pandey' 'WD Parnell' 'SC Ganguly' 'RV Uthappa' 'CJ Ferguson'],['SL Malinga' 'Harbhajan Singh' 'MM Patel' 'PP Ojha'],Arun Jaitley Stadium
499,1175360,2,27,['RE Levi' 'RG Sharma' 'AT Rayudu' 'JEC Franklin' 'KD Karthik'],['M Kartik' 'AB Dinda' 'MN Samuels' 'WD Parnell'],Arun Jaitley Stadium
500,1175359,1,57,['R Dravid' 'AM Rahane'],['P Kumar' 'JP Faulkner' 'PP Chawla'],Sawai Mansingh Stadium
501,1175359,2,45,['AC Gilchrist' 'PC Valthaty' 'SE Marsh' 'AM Nayar'],['SK Trivedi' 'J Botha' 'A Singh' 'KK Cooper'],Sawai Mansingh Stadium
502,1175358,1,46,['AB McDonald' 'CA Pujara' 'V Kohli'],['IK Pathan' 'DAJ Bracewell' 'M Morkel' 'UT Yadav'],Wankhede Stadium
503,1175358,2,46,['AJ Finch' 'V Sehwag' 'NV Ojha'],['Z Khan' 'R Vinay Kumar' 'AB McDonald'],Wankhede Stadium
504,1175357,1,44,['M Vijay' 'SK Raina' 'F du Plessis' 'S Badrinath'],['Ankit Sharma' 'DW Steyn' 'MS Gony' 'DT Christian'],Eden Gardens
505,1175357,2,45,['DJ Harris' 'S Dhawan' 'PA Patel'],['R Ashwin' 'JA Morkel' 'DE Bollinger'],Eden Gardens
506,1175356,1,37,['R Dravid' 'AM Rahane' 'SP Goswami'],['B Lee' 'JH Kallis' 'SP Narine' 'Iqbal Abdulla'],MA Chidambaram Stadium
507,1175356,2,27,['JH Kallis' 'BB McCullum' 'G Gambhir' 'DB Das' 'MK Tiwary' 'YK Pathan'],['AA Chavan' 'A Singh' 'KK Cooper'],MA Chidambaram Stadium
508,1136620,1,38,['JD Ryder' 'SC Ganguly' 'MN Samuels' 'RV Uthappa'],['P Kumar' 'JP Faulkner' 'AD Mascarenhas'],Wankhede Stadium
509,1136620,2,19,['AC Gilchrist' 'PC Valthaty' 'Mandeep Singh' 'AM Nayar'],['AB Dinda' 'MN Samuels' 'A Nehra' 'R Sharma'],Wankhede Stadium
510,1136619,1,45,['PA Patel' 'S Dhawan' 'B Chipli' 'DT Christian'],['Harbhajan Singh' 'MM Patel' 'SL Malinga' 'PP Ojha'],Eden Gardens
511,1136619,2,29,['TL Suman' 'RE Levi' 'RG Sharma' 'AT Rayudu'],['Ankit Sharma' 'DW Steyn' 'DT Christian'],Eden Gardens
512,1136618,1,60,['JH Kallis' 'G Gambhir'],['Z Khan' 'R Vinay Kumar' 'HV Patel' 'M Muralitharan'],Eden Gardens
513,1136618,2,20,['CA Pujara' 'CH Gayle' 'V Kohli' 'AB de Villiers' 'SS Tiwary'],['B Lee' 'JH Kallis' 'L Balaji'],Eden Gardens
514,1136617,1,41,['F du Plessis' 'SK Raina' 'S Badrinath'],['IK Pathan' 'UT Yadav' 'M Morkel'],Wankhede Stadium
515,1136617,2,50,['NV Ojha' 'V Sehwag' 'KP Pietersen'],['JA Morkel' 'DE Bollinger' 'R Ashwin'],Wankhede Stadium
516,1136616,1,54,['RE Levi' 'TL Suman' 'RG Sharma'],['AA Chavan' 'A Singh' 'KK Cooper'],Maharashtra Cricket Association Stadium
517,1136616,2,44,['R Dravid' 'AM Rahane' 'SP Goswami' 'OA Shah'],['SL Malinga' 'MM Patel' 'JEC Franklin' 'PP Ojha'],Maharashtra Cricket Association Stadium
518,1136615,1,56,['MA Agarwal' 'CH Gayle' 'V Kohli'],['R Ashwin' 'DE Bollinger' 'JA Morkel'],Arun Jaitley Stadium
519,1136615,2,52,['M Vijay' 'F du Plessis'],['DL Vettori' 'Z Khan' 'R Vinay Kumar' 'RR Bhatkal'],Arun Jaitley Stadium
520,1136614,1,29,['JD Ryder' 'SC Ganguly' 'MN Samuels' 'RV Uthappa' 'AD Mathews'],['P Kumar' 'P Awana' 'AD Mascarenhas'],Rajiv Gandhi International Stadium
521,1136614,2,38,['PC Valthaty' 'SE Marsh' 'AC Gilchrist'],['AB Dinda' 'A Nehra' 'MN Samuels' 'AD Mathews'],Rajiv Gandhi International Stadium
522,1136613,1,45,['R Dravid' 'AM Rahane'],['L Balaji' 'JH Kallis' 'SP Narine'],Sawai Mansingh Stadium
523,1136613,2,36,['JH Kallis' 'G Gambhir' 'MS Bisla'],['J Botha' 'A Singh' 'AA Chavan'],Sawai Mansingh Stadium
524,1136612,1,50,['KC Sangakkara' 'S Dhawan' 'PA Patel'],['IK Pathan' 'KP Pietersen' 'M Morkel' 'AB Agarkar'],Arun Jaitley Stadium
525,1136612,2,34,['NV Ojha' 'V Sehwag' 'KP Pietersen' 'DPMD Jayawardene' 'LRPL Taylor'],['V Pratap Singh' 'DW Steyn' 'DT Christian'],Arun Jaitley Stadium
526,1136611,1,43,['F du Plessis' 'M Vijay'],['M Kartik' 'AB Dinda' 'A Nehra' 'R Sharma' 'MN Samuels'],M.Chinnaswamy Stadium
527,1136611,2,56,['RV Uthappa' 'JD Ryder' 'SC Ganguly'],['KMDN Kulasekara' 'JA Morkel' 'R Ashwin' 'DJ Bravo'],M.Chinnaswamy Stadium
528,1136610,1,26,['AC Gilchrist' 'Mandeep Singh' 'SE Marsh' 'DJ Hussey'],['YK Pathan' 'JH Kallis' 'SP Narine'],Wankhede Stadium
529,1136610,2,48,['JH Kallis' 'G Gambhir' 'MS Bisla' 'MK Tiwary'],['P Kumar' 'BA Bhatt' 'AD Mascarenhas'],Wankhede Stadium
530,1136609,1,43,['R Dravid' 'AM Rahane'],['Z Khan' 'S Aravind' 'R Vinay Kumar'],Eden Gardens
531,1136609,2,54,['MA Agarwal' 'CH Gayle' 'V Kohli'],['J Botha' 'Pankaj Singh' 'A Singh'],Eden Gardens
532,1136608,1,23,['RE Levi' 'DJ Jacobs' 'RG Sharma' 'AT Rayudu'],['IK Pathan' 'S Nadeem' 'M Morkel'],Holkar Cricket Stadium
533,1136608,2,41,['NV Ojha' 'V Sehwag' 'KP Pietersen'],['MM Patel' 'RP Singh' 'CJ McKay'],Holkar Cricket Stadium
534,1136607,1,57,['KC Sangakkara' 'S Dhawan'],['Pankaj Singh' 'A Singh' 'J Botha'],Wankhede Stadium
535,1136607,2,62,['R Dravid' 'AM Rahane' 'AL Menaria'],['Ankit Sharma' 'DW Steyn' 'DT Christian' 'Anand Rajan'],Wankhede Stadium
